customer_id,age,gender,tenure_months,subscription_type,monthly_charges,total_spend,support_tickets,last_login_days,churn
104,34,Male,4,Standard,1623.96,1436.05,2,12,0
105,25,Female,1,Premium,914.79,33687.96,2,21,0
106,52,Female,54,Basic,1385.56,47867.36,8,27,1
107,52,Male,42,Standard,1653.91,5788.74,2,27,0
108,50,Male,34,Basic,1076.08,37847.32,9,20,1
109,22,Female,27,Premium,618.46,8085.23,4,17,0
110,59,Female,21,Premium,499.2,39709.21,5,23,1
111,56,Female,24,Premium,661.03,18843.36,5,0,0
112,58,Male,15,Basic,1711.33,35747.05,5,28,0
113,45,Male,35,Premium,822.82,46350.98,0,0,0
114,24,Female,25,Standard,644.66,31196.89,5,27,1
115,26,Male,55,Standard,1631.19,46074.6,0,0,0
116,25,Female,9,Premium,160.65,12133.71,5,8,0
117,29,Male,17,Standard,1228.52,48917.62,9,20,0
118,51,Male,21,Basic,1759.9,43705.98,5,13,0
119,50,Male,13,Basic,879.16,5824.88,2,27,1
120,40,Male,3,Premium,611.7,20970.22,2,17,0
121,41,Male,4,Standard,1034.25,46387.96,5,26,0
122,54,Female,4,Standard,1463.21,4366.71,1,0,0
123,52,Female,43,Premium,1081.55,22961.26,4,19,1
124,61,Male,28,Basic,114.51,36317.89,9,10,1
125,57,Female,7,Premium,248.82,2155.64,2,1,0
126,39,Female,26,Standard,1470.52,37765.13,4,18,0
127,44,Male,11,Standard,859.91,18379.53,2,1,0
128,52,Female,24,Premium,1591.07,12843.9,1,23,0
129,18,Male,43,Basic,1334.03,29010.63,3,29,1
130,52,Female,10,Basic,1204.88,27444.4,4,18,0
131,54,Female,37,Premium,1812.61,43759.99,5,1,1
132,64,Female,13,Standard,140.51,33962.15,1,5,0
133,31,Female,44,Basic,394.57,21382.28,2,22,0
134,20,Female,42,Premium,1286.31,32681.85,2,14,0
135,18,Female,39,Standard,225.07,37632.33,5,24,0
136,22,Female,19,Basic,1325.44,46897.76,0,10,0
137,43,Male,51,Basic,1969.83,35360.95,6,25,0
138,31,Male,19,Premium,1769.74,27421.68,7,15,1
139,56,Male,12,Standard,1222.74,18962.51,6,19,1
140,44,Male,52,Basic,1798.56,44628.44,3,20,0
141,26,Female,22,Premium,320.91,39729.72,6,29,0
142,32,Female,47,Basic,963.92,4320.47,0,26,1
143,32,Female,37,Standard,914.48,35127.29,7,21,1
144,43,Male,56,Basic,739.25,27168.1,9,2,0
145,59,Male,30,Standard,100.38,5630.37,9,2,1
146,30,Male,46,Basic,1792.96,28465.56,2,18,0
147,49,Female,12,Basic,1577.64,10029.04,8,20,0
148,56,Male,29,Premium,1340.43,35553.17,0,10,0
149,49,Female,21,Basic,345.04,14283.83,5,5,1
150,21,Male,11,Standard,818.59,7942.02,0,24,0
151,47,Female,37,Premium,1856.22,4557.66,7,8,0
152,54,Male,48,Standard,1272.17,24794.57,2,27,1
153,40,Female,58,Standard,1246.48,10381.92,3,4,1
154,56,Male,18,Premium,1834.94,42828.83,5,29,0
155,62,Male,44,Standard,1163.68,648.55,3,23,0
156,32,Female,59,Basic,1235.48,42260.12,7,6,1
157,60,Female,27,Premium,756.86,26294.07,8,19,0
158,46,Male,37,Basic,805.74,46146.2,4,0,0
159,53,Female,48,Basic,1402.65,10628.26,0,2,0
160,30,Male,12,Standard,708.83,5562.55,7,10,1
161,49,Female,23,Standard,1162.31,31435.43,1,25,1
162,24,Male,34,Basic,630.47,35483.01,5,20,0
163,39,Female,38,Premium,415.64,18942.96,5,9,0
164,45,Male,23,Basic,963.36,1177.17,6,12,1
165,19,Male,53,Basic,513.15,20644.64,8,28,0
166,59,Male,25,Standard,1807.14,12072.45,0,2,0
167,62,Female,4,Standard,676.86,17699.75,9,10,0
168,23,Male,30,Basic,1235.06,25584.35,7,19,1
169,45,Female,30,Basic,600.54,35265.92,4,8,0
170,45,Female,13,Standard,590.24,48179.65,5,24,0
171,61,Female,42,Basic,766.21,7627.99,7,10,0
172,61,Male,49,Standard,1840.16,34155.02,7,8,0
173,37,Female,14,Basic,843.85,12043.97,6,12,0
174,47,Female,56,Premium,1660.41,11424.88,6,8,0
175,28,Female,47,Premium,474.87,31860.93,0,13,0
176,45,Male,8,Basic,191.52,38911.98,7,15,0
177,42,Female,55,Standard,1585.19,48900.46,2,27,0
178,56,Female,24,Basic,1129.56,38557.13,4,16,0
179,50,Female,18,Basic,1057.08,8287.09,3,24,0
180,18,Female,35,Standard,617.19,11657.43,9,14,0
181,44,Male,25,Basic,237.4,38188.79,2,27,1
182,30,Male,17,Standard,1017.43,26585.9,9,27,1
183,58,Female,32,Basic,1747.73,15122.7,4,10,0
184,20,Female,56,Standard,328.04,23853.27,2,11,0
185,56,Female,24,Basic,1865.42,45786.96,8,29,0
186,23,Female,7,Premium,621.99,37902.17,8,10,0
187,25,Male,13,Standard,1111.15,22809.54,5,28,0
188,44,Male,27,Premium,226.37,49037.42,2,17,0
189,26,Male,48,Standard,907.59,39846.29,4,23,0
190,54,Male,5,Standard,339.21,790.61,7,24,1
191,50,Female,36,Standard,191.15,6062.18,8,11,1
192,59,Female,26,Standard,1936.46,27921.46,2,7,1
193,61,Male,42,Basic,1487.18,17822.73,4,24,1
194,41,Male,45,Basic,1466.21,40721.66,1,20,0
195,32,Female,31,Standard,272.04,44836.51,1,9,1
196,49,Female,10,Basic,1865.77,12412.22,1,27,0
197,49,Female,46,Standard,991.99,38282.65,5,22,0
198,41,Female,26,Standard,1719.34,27002.17,2,26,0
199,58,Female,22,Premium,123.94,19902.37,9,2,0
200,29,Male,12,Standard,666.59,39445.61,4,19,0
201,56,Male,32,Standard,1992.49,28463.73,7,3,0
202,19,Female,27,Basic,912.89,31946.56,4,12,1
203,20,Female,33,Standard,1788.14,3581.58,1,25,1
204,54,Male,53,Standard,723.2,29501.04,5,19,1
205,34,Female,52,Premium,1098.13,15385.21,1,26,1
206,19,Male,20,Basic,1723.02,24918.06,7,7,1
207,19,Male,39,Basic,1251.06,11489.55,1,1,0
208,45,Male,41,Premium,1477.87,30916.54,6,27,0
209,40,Male,40,Standard,534.78,7799.71,3,1,0
210,54,Female,59,Premium,396.19,6583.74,3,20,0
211,49,Female,13,Basic,537.58,9826.36,7,5,1
212,50,Male,14,Premium,1036.79,40964.49,3,19,0
213,18,Female,44,Basic,1621.83,2159.93,7,27,0
214,36,Female,40,Premium,772.59,36614.07,8,6,0
215,19,Female,53,Standard,1173.15,3297.13,7,25,0
216,61,Female,22,Standard,1629.14,29796.93,3,3,1
217,43,Male,18,Basic,553.68,38791.14,4,7,0
218,49,Female,48,Premium,1777.65,11938.11,5,17,1
219,23,Male,29,Basic,1910.86,10199.37,8,29,1
220,49,Male,43,Standard,174.04,14814.32,4,9,0
221,21,Female,16,Basic,212.31,35130.86,1,19,1
222,28,Male,46,Standard,272.82,13113.92,6,10,1
223,34,Female,35,Basic,1575.86,25337.61,5,6,0
224,55,Female,53,Premium,459.74,7156.07,2,4,1
225,41,Male,34,Standard,1478.82,23329.18,7,25,0
226,22,Female,3,Basic,938.42,31424.06,2,10,1
227,51,Male,4,Standard,1688.88,4055.04,9,17,0
228,23,Male,54,Premium,1636.26,40863.45,3,15,1
229,39,Female,5,Standard,1923.36,46903.08,8,18,0
230,28,Female,10,Premium,576.97,10080.61,3,19,1
231,33,Female,52,Standard,535.55,38091.92,1,4,0
232,50,Male,29,Premium,159.87,16016.6,8,6,0
233,26,Female,32,Standard,879.79,33997.87,9,2,1
234,23,Male,31,Premium,972.22,15680.53,7,24,0
235,33,Male,2,Basic,1932.58,43185.99,3,9,1
236,46,Female,12,Basic,1678.49,17681.85,5,18,0
237,20,Female,27,Standard,416.9,42517.12,5,4,1
238,37,Female,5,Premium,1617.13,38424.06,1,28,1
239,53,Male,37,Basic,438.77,10218.03,8,4,0
240,36,Female,27,Standard,247.75,8269.18,5,22,1
241,43,Male,23,Basic,1690.46,39092.97,4,21,0
242,20,Female,33,Premium,1954.32,19820.01,1,10,1
243,36,Female,4,Standard,267.43,47494.96,9,18,0
244,37,Male,59,Premium,1646.46,47175.94,0,11,0
245,49,Male,21,Premium,1732.5,34827.29,6,16,1
246,24,Female,24,Premium,325.64,25278.73,3,21,0
247,58,Female,44,Basic,638.18,10150.88,6,26,0
248,50,Female,31,Standard,1493.96,44178.44,4,21,1
249,57,Female,44,Premium,1634.69,4558.9,0,19,0
250,56,Female,48,Basic,772.55,18832.39,4,14,0
251,35,Male,24,Premium,403.87,16301.37,3,17,0
252,57,Male,49,Basic,1331.85,47942.23,0,8,0
253,18,Male,53,Standard,1433.74,6346.74,9,21,0
254,28,Male,10,Standard,1056.85,44562.42,1,28,0
255,45,Female,49,Standard,375.39,23093.51,8,16,0
256,42,Male,49,Standard,1704.52,2851.2,0,23,1
257,40,Male,50,Premium,1326.01,36578.88,9,25,0
258,48,Male,2,Basic,1751.41,5493.52,3,22,0
259,47,Female,31,Standard,1872.64,12231.7,7,26,0
260,59,Male,25,Premium,1630.83,40086.58,4,10,0
261,52,Female,4,Standard,1921.45,8159.23,9,5,0
262,24,Male,51,Standard,1913.09,16610.77,6,11,1
263,33,Female,11,Standard,1276.75,18369.42,1,10,0
264,43,Male,17,Basic,1483.53,29645.73,3,26,0
265,19,Female,44,Basic,1428.88,39601.7,3,16,0
266,18,Male,2,Basic,1280.16,11925.16,0,9,0
267,29,Female,6,Standard,136.77,10686.25,7,12,1
268,22,Female,9,Premium,776.22,11484.18,2,4,0
269,54,Male,5,Premium,290.15,19389.79,3,3,0
270,49,Female,20,Premium,670.49,26987.61,1,6,0
271,26,Female,29,Standard,230.27,1165.53,9,14,1
272,58,Male,21,Basic,1848.06,39124.73,4,1,0
273,52,Male,9,Premium,957.53,46372.45,4,16,0
274,36,Female,28,Standard,459.79,42254.22,2,22,0
275,33,Male,55,Standard,1211.08,2340.63,7,23,1
276,20,Male,8,Premium,473.26,26462.98,0,20,0
277,37,Male,31,Premium,1628.44,40794.34,1,7,0
278,41,Female,20,Standard,681.25,17533.67,0,15,1
279,50,Female,27,Premium,698.31,44903.35,5,19,0
280,41,Female,8,Standard,1752.91,44400.54,3,23,1
281,28,Female,54,Premium,1162.49,7514.37,9,26,0
282,25,Female,21,Basic,1785.87,24934.72,0,2,0
283,53,Female,28,Standard,884.49,1770.54,6,22,1
284,55,Female,23,Basic,753.46,14452.05,8,21,0
285,57,Male,6,Premium,1061.79,40687.71,4,16,1
286,37,Female,3,Standard,216.83,48769.46,6,4,1
287,52,Female,5,Premium,392.98,45709.5,3,13,0
288,42,Male,9,Standard,517.09,2607.73,3,13,0
289,52,Male,7,Premium,1651.69,46373.16,3,13,0
290,42,Male,4,Basic,1494.22,41221.08,4,10,0
291,46,Female,39,Basic,467.28,43451.27,7,27,0
292,35,Male,5,Premium,625.82,45783.93,3,19,1
293,63,Female,11,Basic,1894.1,24664.91,6,12,0
294,35,Female,15,Basic,263.03,10955.31,8,21,0
295,19,Female,34,Premium,1140.16,1540.69,5,8,0
296,52,Male,13,Standard,1091.81,1665.64,3,19,0
297,33,Male,54,Premium,1478.84,32304.32,4,1,1
298,58,Female,48,Standard,596.73,17195.36,7,11,0
299,53,Female,7,Basic,1876.07,25046.88,3,7,0
300,50,Female,40,Basic,880.11,7001.09,3,15,1
301,21,Male,6,Basic,642.87,48787.91,6,0,0
302,50,Female,56,Basic,740.05,6932.18,5,15,0
303,31,Male,39,Basic,762.57,22517.91,0,5,0
304,38,Female,50,Standard,477.96,22446,8,19,0
305,37,Male,30,Standard,1863.3,927.61,4,5,0
306,25,Female,22,Standard,432.26,33556,9,2,0
307,24,Male,25,Premium,1777.38,27141.42,1,8,1
308,20,Male,28,Basic,869.37,25126.06,4,18,0
309,34,Male,54,Basic,611.63,40995.2,7,2,0
310,50,Male,20,Basic,477.17,12436.29,5,20,0
311,29,Male,39,Premium,1058.25,43124.29,7,6,0
312,39,Male,3,Premium,1371.59,43306.54,4,13,0
313,39,Female,5,Premium,1806.62,41429.68,3,29,0
314,63,Female,1,Basic,1339.65,17399.19,9,21,0
315,47,Female,15,Standard,1018.96,8546.59,2,13,0
316,55,Female,26,Premium,163.6,24021.27,1,22,1
317,55,Male,3,Premium,1839.31,13362.13,8,24,0
318,62,Female,40,Standard,1814.5,3082.99,0,2,0
319,25,Male,57,Premium,819.56,14333.77,9,4,0
320,44,Male,41,Standard,155.17,23721.85,1,4,1
321,44,Male,47,Basic,1493.4,6080.41,5,18,1
322,51,Female,42,Standard,1604.19,47244.52,5,26,0
323,38,Male,34,Standard,1130.69,32977.01,0,9,0
324,47,Female,52,Basic,865.46,7248.87,7,8,1
325,50,Female,5,Premium,1717.15,40697.18,3,28,1
326,45,Female,31,Basic,465.78,46440.37,6,15,0
327,64,Female,51,Premium,935.16,13507.81,9,8,1
328,50,Female,13,Premium,146.52,7591.01,8,5,1
329,22,Male,43,Standard,411.62,16462.54,1,4,0
330,36,Male,1,Basic,1887.58,41696.32,6,3,0
331,21,Female,22,Standard,1198.36,9167.15,0,19,0
332,52,Male,15,Basic,1630.63,39077.66,2,20,0
333,34,Female,26,Basic,1024.35,35955.03,3,17,0
334,61,Male,18,Standard,1686.17,32742.65,2,15,1
335,45,Male,48,Premium,1124.01,21949.22,7,23,0
336,47,Male,9,Premium,108.62,18655.13,6,27,0
337,46,Male,1,Basic,1809.43,4720.27,2,6,0
338,63,Male,43,Premium,382.28,18189.11,6,13,0
339,23,Male,9,Standard,956.05,30291.17,1,29,1
340,52,Male,23,Standard,1005.68,44961.36,2,22,0
341,58,Male,43,Standard,189.75,41739.66,6,16,0
342,54,Male,45,Basic,200.83,2094.68,9,7,0
343,41,Male,58,Basic,1548.85,7373.71,4,10,0
344,46,Male,2,Premium,670.86,42500.15,8,16,1
345,63,Male,14,Standard,878.29,46996.26,7,13,0
346,48,Male,38,Standard,1171.81,3262.54,5,8,0
347,52,Female,40,Basic,809.43,35211.98,3,5,0
348,50,Male,18,Basic,1572.57,18603.79,2,7,0
349,38,Male,16,Basic,1780.48,18532.37,5,16,0
350,49,Male,53,Standard,213.46,32312.13,8,21,0
351,40,Male,29,Standard,1307.27,40605.7,4,12,0
352,50,Male,44,Premium,703.55,14104.46,6,12,0
353,20,Male,11,Standard,1208.22,35415.04,6,16,0
354,35,Female,6,Premium,1019.42,31975.88,6,18,0
355,42,Female,3,Premium,733.99,26107.37,8,1,0
356,59,Female,14,Standard,280.15,30320.07,1,29,0
357,48,Male,2,Premium,1162.94,1393.64,7,17,0
358,20,Male,32,Premium,314.31,701.26,1,3,0
359,57,Male,31,Basic,396.63,27746.71,0,6,0
360,63,Female,11,Standard,1966.13,26443.37,9,27,0
361,41,Male,22,Premium,701.74,4031.09,5,15,0
362,49,Male,3,Premium,1210.43,24855.3,1,18,0
363,64,Female,50,Premium,617.24,37997.67,4,14,1
364,39,Female,31,Standard,1744.47,27289.52,0,22,0
365,40,Male,33,Basic,638.35,26121.91,6,24,0
366,19,Male,24,Basic,797.08,36036.47,0,13,0
367,44,Male,1,Standard,1255.94,9006.29,7,12,1
368,59,Male,44,Standard,1752.97,23145.29,4,19,1
369,19,Female,15,Standard,1650.81,7828.37,4,6,0
370,43,Male,37,Standard,601.33,26430.09,2,14,0
371,34,Male,27,Basic,1676.15,29801.1,1,0,0
372,57,Female,38,Premium,1432.27,6522.83,5,1,0
373,50,Male,48,Premium,1980.67,4238,3,23,0
374,26,Male,27,Standard,1877.35,8753.31,9,2,1
375,60,Female,44,Standard,1112.96,29523.71,3,20,1
376,56,Female,12,Premium,1524.86,9886.15,5,23,0
377,46,Male,3,Basic,1183.34,14124.54,1,4,1
378,59,Female,30,Standard,1230.49,35276.02,1,15,0
379,43,Female,32,Standard,292.85,12793.07,9,27,0
380,52,Male,23,Basic,104.27,20177.59,9,16,0
381,42,Female,2,Basic,191.55,46477.85,3,28,0
382,41,Male,7,Basic,1936.6,41337.33,5,17,1
383,30,Male,34,Standard,339.91,13145.88,1,25,1
384,24,Male,32,Basic,184.34,30080,6,15,0
385,53,Male,53,Standard,688.32,33457.32,7,10,1
386,62,Female,39,Standard,1217.54,45061.95,8,2,1
387,37,Male,32,Basic,1902.08,27599.63,5,9,0
388,18,Male,43,Premium,1429.79,28283.7,1,17,0
389,25,Male,43,Basic,625.07,44478.14,5,15,1
390,63,Male,14,Premium,1884.21,3191.9,7,8,1
391,33,Female,3,Basic,168.48,31593,9,20,1
392,31,Female,46,Basic,1960.2,21124.14,0,0,0
393,29,Female,32,Standard,211.42,45533.29,5,10,0
394,40,Male,43,Standard,1532.31,48046.74,0,10,1
395,32,Female,36,Standard,186.07,8927.24,5,26,0
396,45,Female,17,Standard,1869.97,14432.69,9,12,1
397,51,Male,48,Standard,306.47,14036.17,3,27,0
398,19,Female,3,Standard,195.91,5481.07,2,7,0
399,49,Male,57,Standard,1789.6,24405.72,2,18,0
400,40,Female,10,Premium,282.01,25897.53,3,26,0
401,39,Female,53,Premium,1616.07,28862.42,2,8,0
402,42,Female,47,Standard,1519.37,33316.44,8,24,1
403,39,Female,40,Premium,1237.87,3614.41,3,27,0
404,39,Male,18,Basic,818.13,31312.94,0,5,0
405,59,Male,3,Premium,1839.6,45733.56,3,3,1
406,23,Female,39,Standard,1755.05,23022.05,0,27,0
407,32,Male,10,Premium,909.87,5782.27,9,27,0
408,60,Female,52,Basic,540.28,4754.23,9,8,0
409,54,Female,9,Premium,617.89,14446.74,2,26,0
410,50,Female,46,Standard,518.61,37749.97,3,24,0
411,25,Female,55,Basic,1128.38,13419.48,3,14,1
412,61,Female,46,Basic,1750.22,40809.38,8,17,0
413,61,Female,11,Premium,1569.86,41073.13,5,25,1
414,22,Male,33,Basic,1611.47,23127.04,2,21,0
415,56,Male,36,Basic,951.75,15389.05,6,26,1
416,21,Female,26,Basic,712.65,30084.52,3,3,0
417,23,Male,27,Standard,1538.98,40621.24,6,18,0
418,62,Female,38,Basic,1607.27,3696.25,1,25,1
419,49,Male,22,Premium,1421.17,47694.47,6,15,1
420,47,Male,26,Premium,161,32472.06,7,5,0
421,64,Male,22,Basic,1220.4,20208.31,6,26,0
422,52,Female,5,Premium,759.39,25547.95,5,11,0
423,57,Male,35,Basic,472.77,19586.83,3,14,0
424,33,Female,2,Premium,1419.35,20924.25,8,14,1
425,30,Female,35,Basic,610.2,29983.02,0,14,0
426,59,Female,9,Basic,1834.4,3481.9,4,15,0
427,47,Male,51,Basic,666.35,9181.17,0,29,0
428,36,Male,51,Standard,1154.84,11738.46,9,13,1
429,34,Male,49,Premium,1672.75,20671.96,0,7,1
430,36,Female,18,Basic,864.02,18867.35,5,24,0
431,45,Female,43,Standard,1674.45,36249.13,5,27,1
432,43,Male,12,Standard,1475.02,13329.38,6,24,1
433,54,Female,3,Basic,1849.65,3325.07,9,1,0
434,43,Male,18,Basic,719.09,3244.39,8,14,0
435,40,Male,56,Basic,299.55,1060,5,28,1
436,26,Male,38,Basic,917.66,2382.29,1,7,0
437,29,Male,7,Basic,1593.05,43003.7,3,10,1
438,18,Female,33,Premium,955.83,35013.52,8,15,0
439,18,Male,6,Basic,597.78,49798.59,1,7,1
440,64,Male,18,Basic,152.45,1505.48,6,4,0
441,51,Male,45,Premium,694.75,42525.58,3,19,0
442,49,Male,22,Standard,1455.42,34954.79,9,24,1
443,42,Male,51,Premium,380.47,32196.95,5,3,0
444,57,Male,39,Standard,747.67,18148.34,0,11,0
445,62,Male,51,Standard,138.44,19148.01,7,9,0
446,18,Female,9,Premium,1471.33,42355.28,5,3,0
447,33,Female,35,Basic,1773.3,35817.45,6,18,0
448,56,Female,23,Standard,1180.2,33680.67,5,9,0
449,22,Female,12,Basic,149.16,2017.14,6,28,1
450,39,Male,52,Premium,513.49,9623.82,4,27,0
451,46,Female,24,Standard,933.09,48149.91,2,28,0
452,20,Female,50,Basic,1216.4,22991.38,5,18,0
453,29,Female,40,Standard,1042.93,39178.96,9,18,1
454,43,Male,9,Standard,1840.15,19771.6,8,10,1
455,33,Female,13,Premium,1883.41,38333.98,5,22,0
456,54,Female,40,Basic,303.59,6401.02,8,12,0
457,39,Male,54,Basic,362.94,2585.34,1,20,0
458,46,Female,42,Standard,780.3,23575.74,0,24,0
459,31,Male,17,Basic,900.35,29786.49,3,1,0
460,45,Female,7,Standard,1213.53,16523.24,4,13,0
461,22,Male,17,Premium,1569,35942.23,9,19,0
462,64,Female,55,Premium,357.96,25043.07,6,17,0
463,47,Female,50,Basic,1625.02,46451.68,7,26,0
464,63,Female,24,Premium,1259.05,4707.03,0,15,0
465,22,Male,2,Premium,1963.68,3795.13,5,23,0
466,29,Female,35,Basic,1337.22,45303.53,0,3,1
467,33,Male,28,Standard,1460.57,33620.8,7,0,0
468,43,Male,19,Premium,470.9,33720.36,0,25,0
469,43,Male,33,Basic,1560.84,1863.98,3,2,0
470,38,Male,21,Basic,250.61,46914.92,2,11,0
471,56,Female,53,Basic,1347.41,38705.34,1,22,0
472,53,Female,10,Premium,205.59,38333.58,7,27,1
473,50,Female,53,Premium,318.93,45640.52,5,2,0
474,47,Male,46,Standard,304.95,29118.58,3,20,0
475,54,Female,45,Standard,199.72,20035.99,2,17,0
476,40,Male,9,Standard,710.16,24293.62,5,23,0
477,27,Male,38,Standard,1989.27,38973.41,5,3,1
478,22,Male,6,Standard,761.63,38552.13,4,28,0
479,53,Female,51,Standard,1545.47,30674.54,2,16,0
480,51,Female,53,Basic,351.4,11294.98,9,11,0
481,48,Male,42,Standard,963.53,41034.76,8,19,0
482,27,Female,55,Premium,451.72,32538.46,5,7,1
483,36,Female,35,Standard,464.98,11452.47,4,24,1
484,49,Male,18,Premium,289.41,24291.9,6,16,0
485,18,Male,53,Standard,920.88,49861.71,0,13,1
486,22,Female,19,Basic,243.52,16754.8,6,21,0
487,62,Male,5,Basic,1828.64,6269.75,0,19,0
488,21,Male,25,Premium,951.01,1572.54,8,10,0
